capture_id,file_path,label,source_domain,center_freq_hz,sample_rate_sps,gain_db,session_id,timestamp,environment,coverage_tags
bg00121,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00121_20260307T062156Z_2437000000Hz_20971520sps_65g_s07.s16,no_drone,custom_bg,2437000000,20971520,65,s07,2026-03-07T06:21:56Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00122,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00122_20260307T062600Z_2437000000Hz_20971520sps_65g_s07.s16,no_drone,custom_bg,2437000000,20971520,65,s07,2026-03-07T06:26:00Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00123,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00123_20260307T063001Z_2437000000Hz_20971520sps_65g_s07.s16,no_drone,custom_bg,2437000000,20971520,65,s07,2026-03-07T06:30:01Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00124,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00124_20260307T063413Z_2437000000Hz_20971520sps_65g_s07.s16,no_drone,custom_bg,2437000000,20971520,65,s07,2026-03-07T06:34:13Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00125,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00125_20260307T063819Z_2437000000Hz_20971520sps_65g_s07.s16,no_drone,custom_bg,2437000000,20971520,65,s07,2026-03-07T06:38:19Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00126,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00126_20260307T064222Z_2437000000Hz_20971520sps_65g_s07.s16,no_drone,custom_bg,2437000000,20971520,65,s07,2026-03-07T06:42:22Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00127,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00127_20260307T064624Z_2437000000Hz_20971520sps_35g_s08.s16,no_drone,custom_bg,2437000000,20971520,35,s08,2026-03-07T06:46:24Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00128,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00128_20260307T065030Z_2437000000Hz_20971520sps_35g_s08.s16,no_drone,custom_bg,2437000000,20971520,35,s08,2026-03-07T06:50:30Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00129,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00129_20260307T065435Z_2437000000Hz_20971520sps_35g_s08.s16,no_drone,custom_bg,2437000000,20971520,35,s08,2026-03-07T06:54:35Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00130,/root/RFBinaryDetect/data/staging/nd_run_01/batch_00006/bg00130_20260307T065841Z_2437000000Hz_20971520sps_35g_s08.s16,no_drone,custom_bg,2437000000,20971520,35,s08,2026-03-07T06:58:41Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
